#{"t_start": 1776169884.952789, "env_id": "None"}
r,l,t
12.048183,7,7.334632
10.487224,6,7.33877
10.867832,6,7.344089
11.935792,7,7.353373
9.806223,6,7.357897
10.893403,6,7.367827
12.165413,7,7.377028
10.87008,6,7.385068
10.946111,6,7.397075
10.186557,6,7.405779
12.884789,7,7.416422
10.425846,6,7.421175
10.934734,6,7.4274
10.69161,6,7.433957
10.999613,6,7.437822
10.714158,6,7.441771
10.170332,6,7.45129
11.567313,7,7.456481
10.777214,6,7.467687
10.873669,6,7.47944
18.562921,10,7.487617
10.857491,6,7.498686
11.004089,6,7.504321
11.072988,7,7.514203
10.930281,6,7.520941
10.726474,6,7.528809
10.82442,6,7.539502
10.752138,6,7.548756
10.991618,6,7.555617
12.085282,7,7.567326
10.477492,6,7.572561
10.93244,6,7.582205
10.181747,6,7.588055
11.648054,7,7.597644
10.995483,6,7.602823
10.893394,6,7.61176
10.894127,6,7.617948
10.297736,6,7.621844
10.376553,6,7.626102
9.105707,5,7.633833
11.812039,7,7.639251
10.589497,6,7.829672
10.668761,6,7.84105
11.849292,7,7.847521
10.783497,6,7.851454
10.711599,6,7.864679
10.909811,6,7.876782
12.352154,7,7.882108
10.930926,6,7.89463
12.182232,7,7.899566
10.715392,6,7.910121
10.846574,6,7.91523
10.379126,6,7.928934
10.08258,6,7.93415
11.0056,6,7.944543
10.967056,6,7.948992
10.528745,6,7.953315
9.209704,5,7.962417
10.337419,6,7.967803
10.854001,6,7.977924
10.073118,6,7.983917
10.397856,6,7.993588
11.904397,7,8.001012
14.31747,8,8.013704
12.197656,7,8.025931
10.999796,6,8.032689
10.993461,6,8.046503
10.740539,6,8.054848
12.305652,7,8.065228
9.023058,5,8.085079
12.240968,7,8.096734
10.465645,6,8.101712
10.962357,6,8.110674
11.853801,7,8.117559
12.096581,7,8.127807
11.01115,6,8.133353
10.374639,6,8.145748
11.96783,7,8.161215
11.019633,6,8.169075
12.216827,7,8.179994
