#{"t_start": 1776169974.3279428, "env_id": "None"}
r,l,t
12.031247,7,6.319387
12.029049,7,6.331779
10.820224,6,6.344337
10.429883,6,6.350589
10.258768,6,6.360661
10.17336,6,6.369349
10.715913,6,6.381428
10.935624,6,6.38651
10.506743,6,6.401166
11.858762,7,6.415876
12.125233,7,6.441214
10.114268,6,6.462649
10.419796,6,6.468793
10.205292,6,6.484471
10.858412,6,6.501966
12.068336,7,6.517661
10.172929,6,6.530497
10.198237,6,6.547907
10.585442,6,6.553494
9.582061,6,6.566554
10.893262,6,6.573908
10.199696,6,6.583086
10.488085,6,6.593551
10.428946,6,6.602899
10.58952,6,6.615367
10.616205,6,6.621072
11.929228,7,6.634896
10.468882,6,6.646755
10.015283,6,6.651973
10.901587,6,6.664154
12.108228,7,6.669933
10.456279,6,6.679261
10.517697,6,6.68363
11.938201,7,6.696345
10.912771,6,6.712666
10.650457,6,6.718254
11.842575,7,6.732001
10.319361,6,6.746273
11.424884,7,6.753115
10.765156,6,6.763513
11.895042,7,6.769545
10.855163,6,6.78037
10.73416,7,6.789421
10.640788,6,6.802147
10.951657,6,6.814113
11.91029,7,6.824107
10.274899,6,6.832045
11.076824,7,6.843646
10.356532,6,6.849394
10.693015,6,6.854104
10.389244,6,6.867748
10.25588,6,6.881143
11.902319,7,6.886624
11.911384,7,6.897929
12.09433,7,6.910629
12.108711,7,6.916656
11.904178,7,6.928642
9.661716,6,6.934372
10.883527,6,6.944334
10.169096,6,6.949836
10.738995,6,6.96021
10.235137,6,6.965549
10.238382,6,6.978858
10.829429,6,6.983824
10.1748,6,6.995106
10.855288,6,7.001977
11.831966,7,7.014122
10.842743,6,7.018818
10.916487,6,7.028284
10.067362,6,7.033102
12.043443,7,7.037601
11.964099,7,7.050641
10.887534,6,7.060926
11.760659,7,7.068173
10.87622,6,7.077008
11.103637,7,7.101472
12.875378,8,7.117276
10.170215,6,7.130481
12.083716,7,7.146694
12.113962,7,7.15201
11.580859,7,7.163591
9.926195,6,7.168194
12.068712,7,7.181907
11.78921,7,7.20394
10.524275,6,7.214921
10.790696,6,7.220124
10.884953,6,7.229398
10.913981,6,7.234009
11.90017,7,7.243318
9.043613,5,7.251177
11.976672,7,7.262171
10.432995,6,7.267273
10.856581,6,7.27839
10.909176,6,7.283678
11.620241,7,7.288134
10.371876,6,7.29862
10.634309,6,7.305035
10.733086,6,7.315994
10.987609,6,7.320987
10.95357,6,7.332834
10.497582,6,7.337574
12.153997,7,7.350266
11.795432,7,7.363619
10.908816,6,7.36834
11.914183,7,7.380885
10.833997,6,7.386898
10.830443,6,7.396169
10.117446,6,7.400525
12.015066,7,7.413557
12.091809,7,7.418938
10.598663,6,7.431404
12.297449,7,7.437078
10.433113,6,7.453852
8.899711,5,7.467688
10.845655,6,7.481727
10.542444,6,7.488914
10.879588,6,7.512031
12.201429,7,7.526118
10.586032,6,7.532537
12.055308,7,7.543123
10.900581,6,7.549736
11.796463,7,7.562202
11.703946,7,7.567737
10.337037,6,7.580859
10.726164,6,7.585413
12.15323,7,7.597095
10.821694,6,7.601969
10.206751,6,7.613878
12.449576,7,7.621409
11.951249,7,7.632229
9.783038,6,7.637996
10.844904,6,7.648117
10.766009,6,7.653611
11.833462,7,7.668234
10.112074,6,7.680198
10.672739,6,7.686516
10.020705,6,7.698406
12.40814,7,7.704222
10.424075,6,7.71557
10.529343,6,7.721462
10.703803,6,7.731576
9.977635,6,7.735999
10.223858,6,7.747891
10.553948,6,7.752371
10.910071,6,7.764954
9.879876,6,7.770586
12.073162,7,7.784385
10.856645,6,7.796978
9.829312,6,7.803123
12.117984,7,7.813903
10.888347,6,7.8205
10.847842,6,7.831
10.741778,6,7.83516
10.716377,6,7.844158
11.574938,7,7.850023
10.253501,6,7.854899
9.900117,6,7.864075
10.942337,6,7.869796
10.515071,6,7.879907
10.55694,6,7.885333
10.575291,6,7.894771
11.950068,7,7.900723
10.996225,6,7.911731
16.564953,10,7.918783
10.230496,6,7.928395
12.180192,7,7.938363
12.32546,7,7.949019
10.849025,6,7.953588
9.9978,6,7.96607
11.893167,7,7.977153
12.100597,7,7.983823
10.257847,6,7.994758
10.915336,6,8.000489
9.875223,6,8.01181
12.099017,7,8.01999
9.96536,6,8.033804
10.871381,6,8.038105
13.642391,8,8.050753
10.621296,6,8.059619
10.686917,6,8.066389
12.092872,7,8.072182
11.899858,7,8.081715
10.857507,6,8.086383
10.89652,6,8.097888
10.732053,6,8.102963
10.79485,6,8.11472
8.876017,5,8.119394
11.983685,7,8.135726
13.450467,8,8.147622
11.896461,7,8.152226
10.13152,6,8.162419
